Entry_Id,OBJ_ID,Dat_obs,Hr_obs,Nb_coyotes,Alimentation,Statut_animal,Periode,Comp_class,Com_code,Cote,Territoire,Statut_mention,Provenance,Verif,X,Y,Lat,Long
1177,1620,"2019-06-24","12:00:00",1,,,"nuit","2",4,2.6,"Saint-Laurent","Valide","formulaire","oui",286323.6397,5041276.188,45.51116102,-73.73646774
1178,1621,"2019-07-10","23:30:00",1,,,"nuit","1",2,0.6,"Dollard-des-Ormeaux","Valide","info-coyote","oui",278589.3592,5039560.834,45.495478,-73.835361
1179,1622,"2019-07-16","10:00:00",1,,,"jour","1",2,1,"Saint-Laurent","Valide","info-coyote","oui",283658.5811,5040095.132,45.50045779,-73.77052494
1180,1623,"2018-03-26","21:35:00",1,,"sain-et-sauf","nuit","4",9,7.6,"Montréal-Nord","Valide","SPVM","oui",293234.517,5050355.152,45.59300531,-73.64823461
1181,1624,"2018-04-01","20:30:00",1,,,"nuit","6",11,9.6,"Ahuntsic-Cartierville","Valide","MFFP","oui",293196.8247,5048746.988,45.578534,-73.6486795
1182,1625,"2019-07-22","05:00:00",1,,,"crepuscule","2",4,2.8,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293347.3049,5048492.7,45.57624834,-73.64674534
1183,1626,"2019-07-28","12:00:00",1,,,"jour","inconnue",1,0,"Pierrefonds-Roxboro","Valide","info-coyote","oui",282877.6127,5040987.991,45.50846793,-73.78055798
1184,1627,"2019-07-29","17:00:00",1,,,"jour","2",5,4,"Mercier-Hochelaga-Maisonneuve","Valide","info-coyote","oui",303164.2553,5047951.747,45.571473,-73.5209573
1185,1628,"2019-07-31","22:30:00",1,,,"nuit","2",5,3.6,"Rivière-des-Prairies-Pointe-aux-Trembles","Valide","formulaire","oui",305301.2567,5057929.593,45.6612579,-73.4935676
1186,1629,"2019-08-01","21:20:00",1,"ordures",,"crepuscule","inconnue",1,0,"Rosemont-La Petite-Patrie","Valide","formulaire","oui",296815.2377,5044130.227,45.5370418,-73.602239
1187,1630,"2019-08-02","06:55:00",1,,,"jour","1",2,1,"Villeray-Saint-Michel-Parc-Extension","Valide","info-coyote","oui",294738.9106,5047817.122,45.5701908,-73.6289006
1188,1631,"2019-08-05","09:10:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","formulaire","oui",291997.2377,5048334.831,45.57480425,-73.66403978
1189,1632,"2019-08-05","01:00:00",1,,,"nuit","inconnue",1,0,"Villeray-Saint-Michel-Parc-Extension","Valide","info-coyote","oui",295456.3929,5045139.131,45.54610337,-73.61965723
1191,1634,"2019-08-05","05:20:00",1,,,"crepuscule","2",4,2.8,"Villeray-Saint-Michel-Parc-Extension","Valide","info-coyote","oui",294646.9313,5048598.789,45.57722313,-73.63009526
1193,1636,"2019-07-25","22:30:00",3,,,"nuit","inconnue",1,0,"Saint-Laurent","Valide","info-coyote","oui",287941.7451,5041293.114,45.51135432,-73.71575933
1194,1637,"2019-07-24","22:00:00",3,,,"nuit","inconnue",1,0,"Saint-Laurent","Valide","info-coyote","oui",287930.8008,5041586.828,45.513997,-73.7159095
1195,1638,"2019-08-09","16:30:00",1,,,"jour","inconnue",1,0,"Côte-des-Neiges-Notre-Dame-de-Grâce","Valide","formulaire","oui",296260.8002,5040736.094,45.50649351,-73.60927901
